NAME,openstatus,id
Clay,SL,19041
Clinton,SL,19045
Lee,SL,19111
Monroe,SL,19135
Hennepin,DFAP,27053
Lake of the Woods,SL,27077
Marshall,SL,27089
Murray,SL,27101
Renville,SL,27129
Scott,DFAP,27139
Sawyer,SL,55113
Carroll,SL,19027
Grundy,SL,19075
Montgomery,SL,19137
Poweshiek,SL,19157
Scott,SL,19163
Big Stone,DFANP,27011
Clay,PD,27027
Cook,SL,27031
Itasca,DFAP,27061
Lac qui Parle,SL,27073
Lake,DFANP,27075
McLeod,SL,27085
Morrison,SL,27097
Redwood,SL,27127
Wright,SL,27171
Bayfield,SL,55007
Crawford,SL,55023
Iron,SL,55051
Juneau,SL,55057
Rusk,SL,55107
Trempealeau,SL,55121
Adams,SL,55001
Door,SL,55029
Nicollet,SL,27103
Cherokee,SL,19035
Yellow Medicine,SL,27173
Grant,SL,27051
St. Louis,DFANP,27137
Buffalo,SL,55011
Florence,SL,55037
Marinette,SL,55075
Kandiyohi,SL,27067
Wilkin,SL,27167
Hancock,SL,19081
Kittson,DFANP,27069
Norman,SL,27107
Stearns,DFANP,27145
Adair,SL,19001
Appanoose,SL,19007
Bremer,SL,19017
Calhoun,SL,19025
Dallas,SL,19049
Delaware,SL,19055
Greene,SL,19073
Hamilton,SL,19079
Hardin,SL,19083
Jackson,SL,19097
Johnson,SL,19103
Lucas,SL,19117
Marshall,SL,19127
Mitchell,SL,19131
O'Brien,SL,19141
Ringgold,SL,19159
Shelby,SL,19165
Story,SL,19169
Union,SL,19175
Winnebago,SL,19189
Aitkin,SL,27001
Becker,DFANP,27005
Carver,DFAP,27019
Clearwater,SL,27029
Cottonwood,SL,27033
Faribault,SL,27043
Koochiching,SL,27071
Lincoln,SL,27081
Martin,SL,27091
Mille Lacs,SL,27095
Olmsted,SL,27109
Red Lake,SL,27125
Rock,SL,27133
Todd,SL,27153
Wabasha,SL,27157
Barron,SL,55005
Calumet,SL,55015
Columbia,SL,55021
Dane,SL,55025
Fond du Lac,SL,55039
Kenosha,SL,55059
Langlade,SL,55067
Marathon,SL,55073
Marquette,SL,55077
Oneida,SL,55085
Ozaukee,SL,55089
Rock,SL,55105
Taylor,SL,55119
Vernon,SL,55123
Walworth,SL,55127
Boone,SL,19015
Buchanan,SL,19019
Cerro Gordo,SL,19033
Clarke,SL,19039
Clayton,SL,19043
Davis,SL,19051
Decatur,SL,19053
Des Moines,SL,19057
Fremont,SL,19071
Guthrie,SL,19077
Harrison,SL,19085
Humboldt,SL,19091
Iowa,SL,19095
Jasper,SL,19099
Lyon,SL,19119
Mills,SL,19129
Monona,SL,19133
Plymouth,SL,19149
Polk,SL,19153
Sioux,SL,19167
Tama,SL,19171
Van Buren,SL,19177
Warren,SL,19181
Wayne,SL,19185
Webster,SL,19187
Beltrami,SL,27007
Adams,SL,19003
Audubon,SL,19009
Black Hawk,SL,19013
Butler,SL,19023
Emmet,SL,19063
Floyd,SL,19067
Jefferson,SL,19101
Chippewa,SL,27023
Jones,SL,19105
Kossuth,SL,19109
Linn,SL,19113
Muscatine,SL,19139
Osceola,SL,19143
Winneshiek,SL,19191
Worth,SL,19195
Crow Wing,SL,27035
Fillmore,SL,27045
Goodhue,SL,27049
Houston,SL,27055
Ramsey,DFAP,27123
Roseau,SL,27135
Brown,SL,55009
Sherburne,DFANP,27141
Traverse,SL,27155
Burnett,SL,55013
Douglas,SL,55031
Winona,SL,27169
Forest,SL,55041
Lafayette,SL,55065
Manitowoc,SL,55071
Milwaukee,SL,55079
Pepin,SL,55091
Pierce,SL,55093
Racine,SL,55101
Richland,SL,55103
Ashland,SL,55003
Chippewa,SL,55017
Clark,SL,55019
Jackson,SL,55053
Dunn,SL,55033
Green,SL,55045
Green Lake,SL,55047
Monroe,SL,55081
Shawano,SL,55115
Waupaca,SL,55135
Kewaunee,SL,55061
Outagamie,SL,55087
Portage,SL,55097
Vilas,SL,55125
Washburn,SL,55129
Washington,SL,55131
Winnebago,SL,55139
Wood,SL,55141
Waushara,SL,55137
Dickinson,SL,19059
Carlton,PUC,27017
Douglas,SL,27041
Isanti,SL,27059
Kanabec,SL,27065
Lyon,SL,27083
Meeker,SL,27093
Mower,SL,27099
Pennington,SL,27113
Pipestone,SL,27117
Pope,SL,27121
Rice,PUC,27131
Swift,SL,27151
Wadena,SL,27159
Waseca,PUC,27161
Dodge,SL,55027
Jefferson,SL,55055
Oconto,SL,55083
Chisago,DFANP,27025
Le Sueur,SL,27079
La Crosse,SL,55063
Otter Tail,DFANP,27111
Pine,SL,27115
Sibley,SL,27143
Watonwan,SL,27165
Benton,SL,19011
Waukesha,SL,55133
Fayette,SL,19065
Madison,SL,19121
Pocahontas,SL,19151
Wapello,SL,19179
Benton,SL,27009
Hubbard,SL,27057
Nobles,SL,27105
Stevens,SL,27149
Jackson,SL,27063
Mahnomen,SL,27087
Cedar,SL,19031
